name,lat,lng,type,notes
"Round Towers Gaelic Football Club Entry Gates",53.160567,-6.912527,PokéStop
Round Towers Gaelic Football Club,53.160067,-6.915082,Gym
"Round Towers Main Football Pitch",53.161035,-6.914098,PokéStop
Ruanbeg Crescent estate enterance,53.157926,-6.896974,PokéStop
Ruanbeg Way field,53.155755,-6.897172,PokéStop
Ruanbeg Drive Entrance Sign,53.156767,-6.895971,PokéStop
"Walkers Gate, North Entrance, Kildare Town",53.164051,-6.920733,NotPogo,Accepted sharing cell
Kildare Town Post Office,53.156582,-6.912804,PokéStop
Kildare town tidy towns,53.163503,-6.912075,PokéStop
Memorial for Albert Kindregan,53.163431,-6.89335,PokéStop,"Became a stop ~04Jun25"
Melitta Park Commemorative Bench,53.161057,-6.898594,Gym
Melitta Park Sign,53.161583,-6.899287,PokéStop
"St Brigid's Boxing Club Kildare Town",53.162427,-6.899036,PokéStop
Curragh Race Course,53.167556,-6.839223,PokéStop,"Ridgewood Pearl Statue, Curragh"
Former Parish Church Historic Plaque,53.158383,-6.91334,PokéStop
Entrance to former Parish church of our lady,53.158453,-6.912434,NotPogo
Bench on Horse Bust,53.166565,-6.913,Gym
"The Mews (Walkers Gate)",53.163906,-6.921535,PokéStop
Bran and Sceolan,53.154412,-6.916566,PokéStop
Tree Of Hope,53.154129,-6.91619,PokéStop
Eggey Pilot Statue,53.154184,-6.916586,Gym
Horse Statue Kildare Village,53.153222,-6.91656,Gym
Free Sculpure,53.152842,-6.915996,PokéStop
"Fox & Hare Statues",53.153138,-6.917361,PokéStop
Standing on Top of the World,53.153169,-6.915296,PokéStop
The Journey,53.155353,-6.914846,PokéStop
Pucking Goat,53.15331,-6.9157,NotPogo
Blue Werewolves Sculpture,53.153031,-6.915574,NotPogo
"Friar's Well",53.153015,-6.916258,NotPogo
Corcomroe Cube,53.152985,-6.916802,NotPogo
Wire Art 0n Wall,53.153461,-6.917259,NotPogo
Visitors Return Sculpture,53.153703,-6.916573,NotPogo
Kildare Village Chic Fountain,53.154045,-6.917198,NotPogo
Pomegranate Offering sculpture,53.154315,-6.917167,NotPogo
Two Birds Art,53.154624,-6.916617,NotPogo
Tree Bearing Fruits,53.154638,-6.91723,NotPogo
Oak Glebe Stone Sign,53.170352,-6.90139,PokéStop
Cunnaberry Hill Community Entrance,53.152923,-6.909924,Potential,Not Accepted - resubmit/appeal
Drumcree Court Community Entrance,53.165546,-6.904355,Potential,Not Accepted - resubmit/appeal
"Kildare Derby Legends Trail Marker, 2 of 12",53.157020,-6.911658,NotPogo,Full L17 cell
"The Curragh Racecourse Main Building, Kildare",53.168601,-6.841440,Gym
"Kildare Derby Legend's Trail Marker, 5 of 12",53.155654,-6.917517,PokéStop
"Kildare Derby Legends Trail, 4 of 12",53.157062,-6.916963,NotPogo,"Approved 09Jun25, but NotGo - full  L17 cell"
"Kildare Derby Legends Trail Marker, 3 of 12",53.157524,-6.913921,PokéStop
"Kildare Derby Legends Trail Marker 9 of 12",53.150623,-6.908780,PokéStop
"Kildare Derby Legends Trail Marker 8 of 12",53.155120,-6.911573,NotPogo,Full L17 cell with CMWS plaque
Kildare Derby Legends Trail,53.145587,-6.905164,NotPogo,"This is Marker 12 of 12, L17 full with National Stud Gate PoI"
Kildare Chilling Factory,53.156386,-6.911503,Potential,Held until credit union old castle wall submitted
Concrete Cast Water Tower Kildare,53.157359,-6.909281,PokéStop
Lourdeville Plaque,53.158523,-6.909892,PokéStop
"Round Tower's Supporter Stand",53.160596,-6.91298,PokéStop
"Round Tower's Training Pitch",53.161192,-6.915171,PokéStop
Round Towers Club House,53.160241,-6.914634,NotPogo,L17 cell full
Further Education and Training Centre Kildare,53.159801,-6.913899,PokéStop
The Bug Hotel Art,53.160208,-6.915705,PokéStop
Seanchaí Books,53.157258,-6.912253,PokéStop
"Leabharlann Cill Dara, Kildare Library",53.156641,-6.912269,PokéStop
The Deanery,53.161144,-6.907963,PokéStop
Elm Park Entrance,53.161022,-6.9083472,PokéStop
Assumpta Villas Stone Place Marker,53.161985,-6.906471,PokéStop
Teach Dara Community Centre,53.155972,-6.913012,PokéStop
Barrett House c.1770 Building,53.15653,-6.910131,PokéStop
Historic Families of Kildare,53.157758,-6.910426,NotPogo
Scuba,53.155279,-6.915208,NotPogo
Kildare Derby Legends Trail Marker 10 of 12,53.148361,-6.907219,PokéStop
The Coffe Bus Kildare,53.162145,-6.899372,PokéStop
19th Century Antique Water Fountain,53.160363,-6.912052,PokéStop
Rathbride Close Planted Stone Marker,53.167497,-6.905469,PokéStop
Collaghknock Public Seating,53.162727,-6.893398,PokéStop
"Assumpta Villas Play & Picnic Area",53.160852,-6.905838,PokéStop
"Kildare Tidy Towns, Kildare Town",53.162059,-6.921261,Potential,"Tidy Towns near Walkers Gate - rejected, to resubmit"
Ravaged Triangle,53.148154,-6.898733,Gym
Buglington Info board,53.147648,-6.898758,PokéStop
Japanese Gardens Monastic Cells,53.147027,-6.899485,PokéStop
Japanese Gardens Monk,53.147349,-6.899753,PokéStop
Japanese Gardens Hand Made Waterfall,53.146931,-6.900032,PokéStop
Climbing Frame,53.14602,-6.901071,PokéStop
Japanese Gardens Wooden Mare and Foal,53.14559,-6.901177,PokéStop
Decorated Knight Information Board,53.147083,-6.902257,PokéStop
Elusive Pimpernel,53.147538,-6.903143,PokéStop
Japanese Garden Birds,53.146131,-6.902287,Gym
"St. Fiachra's Garden",53.146274,-6.902696,PokéStop
Lord Shanakill,53.145884,-6.903341,PokéStop
Japanese Gardens Lake Fountain,53.145394,-6.902252,PokéStop
Japanese Gardens Information Point,53.144781,-6.900811,PokéStop
Japanese Gardens Mini Tower,53.144723,-6.901421,PokéStop
Black Abbey,53.145301,-6.904087,Gym
Japanese Gardens Horse Walker,53.144687,-6.90293,PokéStop
Sea The Stars,53.144619,-6.903477,PokéStop
Japanese Gardens Tea House,53.14445,-6.902119,Gym
Sitting God,53.144135,-6.902555,PokéStop
"Irish National Stud, Main Gate",53.145565,-6.90477,PokéStop
The Black Abbey Sign,53.144897,-6.904338,NotPogo
The Craft of Farriery,53.144946,-6.903779,NotPogo
Sun Chariot Yard,53.144991,-6.903147,NotPogo
Minoru,53.144402,-6.90265,NotPogo
National Stud Tourist Info,53.144475,-6.901014,NotPogo
"Japanese Gardens Decisions & Choices",53.144479,-6.901384,NotPogo
Kildare Colonel William Hall Walker,53.144867,-6.902003,NotPogo
Ian Gallagher Bench,53.145185,-6.901815,NotPogo
Japanese Gardens Osborne Centre,53.145596,-6.902027,NotPogo
Japanese Gardens Sea of Stars,53.145622,-6.902546,NotPogo
"Arkle Skeleton 1957-1970",53.145291,-6.903134,PokéStop
Falabellas,53.145188,-6.90349,NotPogo
Japanese Gardens Students Memorial,53.145635,-6.903226,NotPogo
Dragon Pulse,53.145717,-6.90357,NotPogo
Stallion Info Point,53.145875,-6.902983,NotPogo
Japanese Gardens Art Connoisseur,53.146077,-6.903137,NotPogo
Stallion Paddocks Info Board,53.146832,-6.902502,NotPogo
Japanese Gardens Beef or Salmon,53.14572,-6.90067,NotPogo
Kicking King,53.145886,-6.900411,NotPogo
Measure Me Tree,53.146681,-6.899617,NotPogo
Japanese Gardens Wooden Deer,53.146955,-6.899042,NotPogo
Japanese Gardens Dedication Plaque,53.147062,-6.899239,NotPogo
Japanese Gardens Morning Glory Plaque,53.14364,-6.902329,NotPogo
Holy Well Of Bridget,53.143843,-6.902362,NotPogo
Mares and Foals Info,53.148949,-6.898209,NotPogo
Nursery Paddocks Info,53.148936,-6.898522,NotPogo
Ionad Tacaíochta Oideachais Chill Daragh,53.158603,-6.914607,PokéStop
"Kildare & Corp Nuds Twinned Towns",53.155704,-6.882948,Nominated,"Rejected, awaiting resubmit/appeal"
"Yolo gastro bar & grill, Kildare",53.156487,-6.917807,PokéStop
"Kildare Derby Legends Trail Marker, 7 of 12",53.153160,-6.913141,NotPogo,NotPogo because too close to plaque cell
"Grey Abbey Bench, Kildare Town",53.152805,-6.914413,PokéStop
"Cloghgarret Abbey Community Garden",53.167972,-6.901855,PokéStop
Bishopsland Community Centre,53.16648,-6.909071,PokéStop
"Kildare Derby Legends Trail marker, 11 of 12",53.146560,-6.905591,PokéStop
CMWS Community 75 Years Plaque,53.155026,-6.912142,PokéStop
"ST. Barbara's Park Sign",53.160672,-6.901438,PokéStop
A Very Wise Fish,53.155317,-6.917437,Potential
"Mani, Pizza By The Slice",53.155304,-6.917121,PokéStop,Accepted 22Jun25
Kildare Village Welcome Sign,53.154559,-6.918844,Nominated
"DE BRUIR, Leather Craftsmanship",53.155721,-6.919500,Nominated
"Fáilte Go Cill Dara, Kildare",53.154108,-6.919246,Nominated,Near kildare village
St Brigid's Park,53.158603,-6.911202,PokéStop
"Kildare Wildlife Rescue & Grey Abbey Vet Hospital",53.152515,-6.913383,Nominated,Nominated 22Jun25
"Ghost Horses Sculptures, Kildare Town",53.150794,-6.919232,Nominated,Nominated 22Jun25
"Up the Lilywhites!",53.149982,-6.919139,Nominated,Nominated 22Jun25
